"National Center for Education Statistics ",,,,,,,,,,,,,,,,,,,,,,,,,
"National Center for Education Statistics",,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2010-2011, 2011-2012 school years",,,,,,,,,,,,,,,,,,,,,,,,,
"The file contains (1618) records based on your search.",,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:
* denotes a column with data from 2010-2011
[ † ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2011-2012 school year will not be available until the full 2011-2012 file is released.
[ – ] indicates that the data are missing.
[ ‡ ] indicates that the data do not meet NCES data quality standards.
The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2011-2012.
Data provided on student membership and staffing are from the official school level data for 2010-2011.
SEARCH CRITERIA: State: ""Alabama"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES School ID","State School ID","NCES District ID","State District ID","Low Grade*","High Grade*","School Name","District","County Name*","Street Address","City","State","ZIP","ZIP 4-digit","Phone","Locale Code*","Locale*","Charter","Magnet*","Title I School*","Title 1 School Wide*","Students*","Teachers*","Student Teacher Ratio*","Free Lunch*","Reduced Lunch*"
10108001767,15,101080,126,"KG",6,"A M WINDHAM ELEM SCH","DALEVILLE CITY","DALE COUNTY","626 N. DALEVILLE AVE","DALEVILLE","AL",36322,2006,3345984466,41,"Rural: Fringe","†","No","Yes","Yes",610,43.83,13.9,381,39
10135000482,10,101350,27,3,4,"A.C. MOORE ELEM SCH","ESCAMBIA COUNTY","ESCAMBIA COUNTY","501 BECK ST","ATMORE","AL",36502,3019,2513684245,32,"Town: Distant","†","No","Yes","Yes",285,15,19,250,15
10174002120,25,101740,34,1,12,"ABBEVILLE ALT SCH","HENRY COUNTY","HENRY COUNTY","300A NORTH TRAWICK STREET","ABBEVILLE","AL",36310,,3345852012,42,"Rural: Distant","†","No","†","†","†",0,"†","†","†"
